id,domain,language,query_text,translated_text,expected_match_id,generated_by
query_0001,crop,Yoruba,"Àwọn ewé pákí mi ti yí àwọ̀ sí pápá àti ewéko tí kò dára. Wọ́n tún ti fì, wọ́n kò tẹ́jú mọ́.","My cassava leaves have changed color to yellow and an unhealthy green. They are also twisted, they are no longer flat.",crop_001,gemini-2.5-flash
query_0002,crop,Yoruba,"Pákí yìí kò dàgbà dáadáa rárá, ó kéré jù. Àwọn ewé rẹ̀ sì ní àwọ̀ tó yàtọ̀ lára rẹ̀, bíi pé wọ́n fi àwọ̀ síbẹ̀.","This cassava is not growing well at all, it's too small. Its leaves also have different colors on them, as if they were painted.",crop_001,gemini-2.5-flash
query_0003,crop,Yoruba,"Àwọn ewé pákí náà ti wó, ó ti dì. Tí mo bá lọ fi ọwọ́ pa á, ọ̀dù tí mo rí kò pọ̀ rárá.","The cassava leaves are crumpled, they are twisted. When I harvest it, the tubers I find are very few.",crop_001,gemini-2.5-flash
query_0004,crop,Yoruba,"Ẹ wo pákí mi, àwọn ewé rẹ̀ ti ní àdàlù àwọ̀ pápá àti ewéko, wọ́n sì ti kára. Ọ̀gbìn náà kò sì ga bẹ́ẹ̀, kò sì fún mi ní ọ̀dù tó yẹ.","Look at my cassava, its leaves have a mix of yellow and green colors, and they have curled up. The plant is not that tall, and it didn't give me enough tubers.",crop_001,gemini-2.5-flash
query_0005,crop,Yoruba,"Àwọn ewé pákí mi kò dára rárá, ó ní àwọ̀ àwòtúnwò pápá àti ewéko. Pákí náà kò ga bíi ti àwọn yòókù.","My cassava leaves are not good at all, they have a mixed yellow and green color. The cassava is not growing tall like the others.",crop_001,gemini-2.5-flash
query_0006,crop,Yoruba,"Ewé pákí yìí ní àmì àwọ̀ pápá àti àwọ̀ ewéko lórí rẹ̀. Ọ̀gbìn náà kò lọ sókè rárá, mo mọ̀ pé ọ̀dù kò ní pọ̀ níbẹ̀.","This cassava leaf has yellow and green color patches on it. The plant is not growing upwards at all, I know there won't be many tubers there.",crop_001,gemini-2.5-flash
query_0007,crop,Yoruba,"Àwọn ewé pákí yìí ti bàjẹ́, wọ́n ti fì, àwọ̀ wọn sì kò yẹ. Kò ní fún mi ní èsì ọ̀dù tó dára.","These cassava leaves are damaged, they are twisted, and their color is unhealthy. It will not give me a good tuber yield.",crop_001,gemini-2.5-flash
query_0008,crop,Yoruba,"Pákí mi kò ṣe dáadáa. Àwọn ewé rẹ̀ ti yí àwọ̀ sí àwọ̀ pápá àti ewéko tí kò yẹ, wọ́n sì ti wó. Ọ̀gbìn náà kò sì ga, ọ̀dù rẹ̀ náà kéré.","My cassava is not doing well. Its leaves have changed color to an unhealthy yellow and green, and they are crumpled. The plant is also not tall, and its tubers are small.",crop_001,gemini-2.5-flash
query_0009,crop,Hausa,"Ganyen cassava na ya fara canza kala, sai rawaya da kore haka yake.","My cassava leaves have started changing color, it's just yellow and green like that.",crop_001,gemma-4-31b-it
query_0010,crop,Hausa,"Ganyen shukar nan ya karkace, bai daidaita ba.","The leaves of this crop are distorted, they aren't straight.",crop_001,gemma-4-31b-it
query_0011,crop,Hausa,"Shuka ta ki girma, sannan ganyen ya zama rawaya-ruwaya.","The plant refuses to grow, and the leaves have become yellowish.",crop_001,gemma-4-31b-it
query_0012,crop,Hausa,"Jijiyoyin kasa ba su girma, ganyen kuma ya karkace.","The tubers haven't grown, and the leaves are twisted.",crop_001,gemma-4-31b-it
query_0013,crop,Hausa,"Ganyen ya zama rawaya da kore, sannan ya karkace, shukar kuma ba ta girma.","The leaves turned yellow and green, then twisted, and the plant isn't growing.",crop_001,gemma-4-31b-it
query_0014,crop,Hausa,Dubi yadda ganyen nan ya karkace kuma yake da launin rawaya.,Look at how these leaves are twisted and have a yellow color.,crop_001,gemma-4-31b-it
